name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Argentina,2021-10-17,20.7,12.4,17.3,20.7,12.4,17.3,9.2,59.7,0.0,0,0.0,,0.0,0.0,,19.7,210.2,1020.5,27.9,10.0,256.1,22.1,10,,2021-10-17T06:08:25,2021-10-17T19:09:41,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2021-10-18,20.2,13.8,16.9,20.2,13.8,16.9,10.8,67.4,0.0,0,0.0,,0.0,0.0,,24.2,153.2,1021.6,11.7,10.0,236.8,20.5,10,,2021-10-18T06:07:11,2021-10-18T19:10:32,0.48,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
Argentina,2021-10-19,19.6,13.6,16.8,19.6,13.6,16.8,9.9,65.3,0.0,0,0.0,,0.0,0.0,,24.2,81.1,1022.0,6.2,9.9,265.8,22.8,10,,2021-10-19T06:05:57,2021-10-19T19:11:23,0.49,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2021-10-20,22.4,15.4,18.8,22.4,15.4,18.8,14.4,76.3,0.0,0,0.0,,0.0,0.0,,25.8,77.0,1019.0,14.7,10.0,232.4,20.0,10,,2021-10-20T06:04:44,2021-10-20T19:12:15,0.5,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2021-10-21,24.5,17.6,20.9,24.5,17.6,20.9,14.8,68.7,0.0,0,0.0,,0.0,0.0,,17.5,133.1,1015.0,13.3,10.0,264.5,22.8,10,,2021-10-21T06:03:33,2021-10-21T19:13:07,0.51,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2021-10-22,23.4,15.3,19.4,23.4,15.3,19.4,13.2,68.0,4.5,100,4.17,rain,0.0,0.0,42.5,25.9,219.2,1011.7,58.1,9.6,161.9,13.8,10,,2021-10-22T06:02:22,2021-10-22T19:14:00,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
Argentina,2021-10-23,21.8,14.9,18.1,21.8,14.9,18.1,11.4,67.8,7.03,100,16.67,rain,0.0,0.0,37.1,22.5,168.3,1008.4,67.2,9.4,155.0,13.6,7,,2021-10-23T06:01:12,2021-10-23T19:14:53,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
Argentina,2021-10-24,25.4,10.6,18.8,25.4,10.6,18.8,5.1,43.3,0.0,0,0.0,,0.0,0.0,46.4,23.9,253.0,1012.1,2.8,10.0,277.1,23.9,10,,2021-10-24T06:00:03,2021-10-24T19:15:46,0.57,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2021-10-25,30.9,18.0,23.6,29.1,18.0,23.1,7.7,38.1,0.0,0,0.0,,0.0,0.0,46.4,31.8,249.8,1009.6,58.3,10.0,254.4,21.9,10,,2021-10-25T05:58:55,2021-10-25T19:16:40,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SAEZ,SADF,SABE,87593099999,87576099999"
Argentina,2021-10-26,30.8,17.9,24.2,31.2,17.9,24.5,16.0,61.2,0.0,0,0.0,,0.0,0.0,,12.0,245.8,1012.6,14.5,10.0,302.3,26.1,10,,2021-10-26T05:57:48,2021-10-26T19:17:34,0.65,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SAEZ,SABE,87593099999,87576099999"
Argentina,2021-10-27,31.4,20.2,25.5,30.9,20.2,25.6,15.9,56.3,0.0,0,0.0,,0.0,0.0,,12.0,205.4,1017.9,0.1,10.0,299.8,25.8,10,,2021-10-27T05:56:42,2021-10-27T19:18:28,0.69,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
